Year,Ceremony,Award,Winner,Name,Film
1935,8,Sound Recording,,"Thomas T. Moulton: Sound Director, United Artists Studio Sound Department",The Dark Angel 
1935,8,Sound Recording,,"Carl Dreher: Sound Director, RKO Radio Studio Sound Department",I Dream Too Much 
1935,8,Sound Recording,,"Franklin B. Hansen: Sound Director, Paramount Studio Sound Department",The Lives of a Bengal Lancer 
1935,8,Sound Recording,,"John Livadary: Sound Director, Columbia Studio Sound Department",Love Me Forever 
1935,8,Sound Recording,1,"Douglas Shearer: Sound Director, Metro-Goldwyn-Mayer Studio Sound Department",Naughty Marietta 
1935,8,Sound Recording,,Republic Studio Sound Department,"$1,000 a Minute"
1935,8,Sound Recording,,"E. H. Hansen: Sound Director, 20th Century-Fox Studio Sound Department",Thanks a Million 
1935,8,Writing (Original Story),,Moss Hart,Broadway Melody
1935,8,Writing (Original Story),,Gregory Rogers,G-Men 
1935,8,Writing (Original Story),,Don Hartman; Stephen Avery,The Gay Deception 
1935,8,Writing (Original Story),1,Ben Hecht; Charles MacArthur,The Scoundrel 
1935,8,Writing (Screenplay),,Casey Robinson,Captain Blood 
1935,8,Writing (Screenplay),1,Dudley Nichols,The Informer 
1935,8,Writing (Screenplay),,Waldemar Young: Screenplay; John L. Balderston: Screenplay; Achmed Abdullah: Screenplay; Grover Jones: Adaptation; William Slavens McNutt: Adaptation,The Lives of a Bengal Lancer 
1935,8,Writing (Screenplay),,Talbot Jennings; Jules Furthman; Carey Wilson,Mutiny on the Bounty 
1936,9,Actor,,Gary Cooper,Mr. Deeds Goes to Town
1936,9,Actor,,Walter Huston,Dodsworth
1936,9,Actor,1,Paul Muni,The Story of Louis Pasteur
1936,9,Actor,,William Powell,My Man Godfrey
1936,9,Actor,,Spencer Tracy,San Francisco
1936,9,Actor in a Supporting Role,,Mischa Auer,My Man Godfrey
1936,9,Actor in a Supporting Role,1,Walter Brennan,Come and Get It
1936,9,Actor in a Supporting Role,,Stuart Erwin,Pigskin Parade
1936,9,Actor in a Supporting Role,,Basil Rathbone,Romeo and Juliet
1936,9,Actor in a Supporting Role,,Akim Tamiroff,The General Died at Dawn
1936,9,Actress,,Irene Dunne,Theodora Goes Wild
1936,9,Actress,,Gladys George,Valiant Is the Word for Carrie
1936,9,Actress,,Carole Lombard,My Man Godfrey
1936,9,Actress,1,Luise Rainer,The Great Ziegfeld
1936,9,Actress,,Norma Shearer,Romeo and Juliet
1936,9,Actress in a Supporting Role,,Beulah Bondi,The Gorgeous Hussy
1936,9,Actress in a Supporting Role,,Alice Brady,My Man Godfrey
1936,9,Actress in a Supporting Role,,Bonita Granville,These Three
1936,9,Actress in a Supporting Role,,Maria Ouspenskaya,Dodsworth
1936,9,Actress in a Supporting Role,1,Gale Sondergaard,Anthony Adverse
1936,9,Art Direction,,Anton Grot,Anthony Adverse 
1936,9,Art Direction,1,Richard Day,Dodsworth 
1936,9,Art Direction,,Cedric Gibbons; Eddie Imazu; Edwin B. Willis,The Great Ziegfeld 
1936,9,Art Direction,,William S. Darling,Lloyds of London 
1936,9,Art Direction,,Albert S. D’Agostino; Jack Otterson,The Magnificent Brute 
1936,9,Art Direction,,Cedric Gibbons; Fredric Hope; Edwin B. Willis,Romeo and Juliet 
1936,9,Art Direction,,Perry Ferguson,Winterset 
1936,9,Assistant Director,,William Cannon,Anthony Adverse 
1936,9,Assistant Director,1,Jack Sullivan,The Charge of the Light Brigade 
1936,9,Assistant Director,,Eric G. Stacey,The Garden of Allah 
1936,9,Assistant Director,,Clem Beauchamp,The Last of the Mohicans 
1936,9,Assistant Director,,Joseph Newman,San Francisco 
1936,9,Cinematography,1,Gaetano Gaudio,Anthony Adverse 
1936,9,Cinematography,,Victor Milner,The General Died at Dawn 
1936,9,Cinematography,,George Folsey,The Gorgeous Hussy 
1936,9,Dance Direction,,Busby Berkeley,Gold Diggers: Love and War
1936,9,Dance Direction,,Bobby Connolly,Cain and Mabel: 1000 Love Songs
1936,9,Dance Direction,1,Seymour Felix,The Great Ziegfeld: A Pretty Girl Is Like a Melody
1936,9,Dance Direction,,Dave Gould,Born to Dance: Swingin' the Jinx
1936,9,Dance Direction,,Jack Haskell,One in a Million: Skating Ensemble
1936,9,Dance Direction,,Russell Lewis,Dancing Pirate: The Finale
1936,9,Dance Direction,,Hermes Pan,Swing Time: Bojangles of Harlem
1936,9,Directing,,William Wyler,Dodsworth 
1936,9,Directing,,Robert Z. Leonard,The Great Ziegfeld 
1936,9,Directing,1,Frank Capra,Mr. Deeds Goes to Town 
1936,9,Directing,,Gregory La Cava,My Man Godfrey 
1936,9,Directing,,W. S. Van Dyke,San Francisco 
1936,9,Film Editing,1,Ralph Dawson,Anthony Adverse 
1936,9,Film Editing,,Edward Curtiss,Come and Get It 
1936,9,Film Editing,,William S. Gray,The Great Ziegfeld 
1936,9,Film Editing,,Barbara McLean,Lloyds of London 
1936,9,Film Editing,,Conrad A. Nervig,A Tale of Two Cities 
1936,9,Film Editing,,Otto Meyer,Theodora Goes Wild 
1936,9,Music (Scoring),1,"Leo Forbstein: head of department, Warner Brothers Studio Music Department; Erich Wolfgang Korngold",Anthony Adverse 
1936,9,Music (Scoring),,"Leo Forbstein: head of department, Warner Brothers Studio Music Department; Max Steiner",The Charge of the Light Brigade 
1936,9,Music (Scoring),,"Max Steiner: head of department, Selznick International Pictures Music Department",The Garden of Allah 
1936,9,Music (Scoring),,"Boris Morros: head of department, Paramount Studio Music Department; Werner Janssen",The General Died at Dawn 
1936,9,Music (Scoring),,"Nathaniel Shilkret: head of department, RKO Radio Studio Music Department",Winterset 
1936,9,Music (Song),,Walter Donaldson: Music; Harold Adamson: Lyrics,"Suzy: ""Did I Remember"""
1936,9,Music (Song),,"Cole Porter: Music, Lyrics","Born to Dance: ""I've Got You Under My Skin"""
1936,9,Music (Song),,Louis Alter: Music; Sidney Mitchell: Lyrics,"Trail of the Lonesome Pine: ""A Melody From The Sky"""
1936,9,Music (Song),,Arthur Johnston: Music; Johnny Burke: Lyrics,"Pennies from Heaven: ""Pennies From Heaven"""
1936,9,Music (Song),1,Jerome Kern: Music; Dorothy Fields: Lyrics,"Swing Time: ""The Way You Look Tonight"""
1936,9,Music (Song),,Richard A. Whiting: Music; Walter Bullock: Lyrics,"Sing, Baby, Sing: ""When Did You Leave Heaven"""
1936,9,Outstanding Production,,Warner Brothers,Anthony Adverse 
1936,9,Outstanding Production,,Samuel Goldwyn Productions,Dodsworth 
1936,9,Outstanding Production,1,Metro-Goldwyn-Mayer,The Great Ziegfeld 
1936,9,Outstanding Production,,Metro-Goldwyn-Mayer,Libeled Lady 
1936,9,Outstanding Production,,Columbia,Mr. Deeds Goes to Town 
1936,9,Outstanding Production,,Metro-Goldwyn-Mayer,Romeo and Juliet 
1936,9,Outstanding Production,,Metro-Goldwyn-Mayer,San Francisco 
1936,9,Outstanding Production,,Cosmopolitan,The Story of Louis Pasteur 
1936,9,Outstanding Production,,Metro-Goldwyn-Mayer,A Tale of Two Cities 
